@relation 'jobdata_p2final-weka.filters.unsupervised.attribute.NumericToNominal-R3,4-weka.filters.unsupervised.attribute.Remove-R3'

@attribute salary numeric
@attribute workmonth numeric
@attribute position {3,4,5}

@data
3000,12,3
1500,12,4
1500,12,3
3000,0,3
3000,12,3
3000,0,3
1500,0,3
1500,0,3
6000,12,3
10000,0,3
10000,36,3
1500,12,3
4500,12,3
4500,12,3
1500,0,3
3000,12,3
3000,12,3
3000,0,3
3000,12,3
3000,0,3
6000,0,3
6000,0,3
4500,0,3
4500,12,3
3000,0,3
1500,36,3
1500,0,3
8000,0,3
3000,0,3
15000,0,3
3000,0,3
4500,12,3
6000,12,3
1500,24,3
8000,24,3
1500,24,3
6000,24,3
4500,36,3
1500,96,4
1500,0,4
3000,12,3
8000,12,3
1500,60,4
1500,24,3
1500,24,3
10000,12,3
1500,24,4
8000,24,3
15000,0,3
6000,0,3
1500,36,4
1500,24,4
1500,24,3
8000,36,4
1500,0,3
1500,0,4
1500,0,4
6000,0,3
1500,24,4
1500,24,3
1500,36,4
1500,36,4
1500,36,3
1500,60,4
4500,0,4
4500,0,4
1500,0,3
6000,36,3
10000,24,3
1500,0,3
1500,0,3
1500,0,3
10000,24,3
4500,24,4
1500,0,3
1500,12,3
6000,0,3
10000,12,3
10000,0,3
10000,0,3
4500,36,3
10000,0,3
3000,12,3
3000,12,3
3000,0,3
1500,0,3
3000,0,3
15000,0,3
6000,0,3
6000,36,3
10000,36,4
6000,0,3
4500,0,3
6000,0,3
6000,0,3
3000,0,3
4500,12,3
3000,12,4
8000,12,3
2000,0,3
10000,24,3
3000,0,3
3000,0,3
6000,24,4
3000,0,3
6000,12,3
4500,12,3
4500,12,3
6000,12,3
6000,12,3
2000,12,3
3000,12,3
3000,12,3
6000,12,3
6000,12,3
6000,24,3
1500,12,3
3000,36,3
3000,24,3
6000,36,3
8000,0,3
8000,12,3
8000,0,3
10000,12,3
10000,0,3
4500,0,3
6000,36,3
2000,0,3
4500,24,3
3000,0,3
2000,0,3
4500,0,3
1500,12,3
1500,12,3
3000,0,3
6000,24,3
2000,12,3
2000,0,3
2000,0,3
2000,0,3
15000,24,3
3000,0,3
10000,36,3
4500,24,4
3000,12,3
6000,36,3
4500,24,3
6000,36,3
4500,24,3
1500,0,3
1500,60,4
4500,24,3
6000,36,3
6000,12,3
8000,36,3
3000,12,3
8000,12,3
10000,24,3
1500,24,4
3000,12,3
8000,36,3
3000,12,3
1500,60,4
1500,12,4
6000,24,3
4500,12,3
1500,0,3
1500,0,3
4500,36,3
10000,36,3
3000,36,4
3000,0,3
8000,24,3
8000,24,3
8000,24,4
1500,0,3
1500,24,3
2000,0,3
3000,12,3
2000,0,3
3000,0,3
15000,36,4
2000,0,3
15000,60,3
4500,60,3
3000,0,3
10000,12,3
6000,36,3
10000,0,3
10000,60,3
6000,0,3
10000,24,3
8000,24,4
8000,0,3
3000,24,3
4500,36,3
4500,24,3
2000,12,3
3000,24,3
1500,24,3
1500,24,3
1500,0,3
1500,12,3
1500,0,3
4500,12,3
3000,24,3
6000,24,3
4500,24,3
8000,36,3
10000,0,3
10000,12,3
15000,0,3
2000,0,3
2000,0,3
8000,12,3
10000,12,3
6000,36,3
15000,36,3
10000,36,4
1500,60,3
1500,36,3
1500,0,3
1500,0,3
1500,0,3
1500,0,3
1500,0,3
10000,36,3
6000,12,3
6000,12,3
1500,24,3
4500,12,3
8000,24,4
10000,0,3
10000,36,4
1500,24,3
1500,24,3
6000,0,3
4500,12,3
10000,0,3
1500,36,3
1500,24,3
6000,0,3
3000,0,3
15000,0,4
6000,0,3
4500,0,3
1500,24,3
1500,0,3
1500,0,3
1500,0,3
1500,0,3
1500,0,3
1500,0,3
1500,0,3
15000,0,3
1500,36,3
6000,0,3
1500,24,3
10000,0,4
1500,0,3
1500,0,3
1500,0,4
1500,36,3
6000,0,3
8000,24,3
4500,0,3
10000,0,3
15000,0,4
4500,0,3
10000,36,3
8000,0,4
10000,24,3
15000,24,3
15000,0,3
10000,0,3
8000,0,3
10000,60,3
10000,36,3
10000,36,3
15000,0,3
1500,0,3
10000,0,3
10000,0,3
10000,0,3
3000,12,3
10000,24,3
10000,0,3
10000,0,3
10000,0,3
10000,0,3
1500,0,3
15000,0,4
4500,12,3
4500,0,3
4500,12,3
4500,0,3
4500,0,3
3000,0,3
4500,24,3
4500,0,3
15000,12,3
6000,12,3
10000,36,3
1500,0,3
10000,12,3
6000,12,3
15000,24,3
10000,12,4
4500,12,3
2000,0,3
4500,12,3
3000,12,3
3000,12,3
15000,36,3
15000,36,4
15000,36,4
4500,12,3
4500,12,3
6000,12,3
1500,12,3
4500,0,3
6000,12,4
6000,12,4
1500,36,3
4500,12,3
1500,0,4
10000,60,4
3000,24,3
4500,12,3
6000,12,3
4500,12,4
4500,12,4
4500,0,4
3000,12,3
6000,0,4
3000,0,3
6000,36,4
6000,12,3
6000,12,3
6000,12,4
15000,0,4
8000,0,3
10000,0,3
4500,0,3
10000,0,3
10000,0,4
8000,0,3
1500,60,3
10000,0,3
4500,0,3
1500,0,3
8000,0,3
8000,0,3
8000,24,3
4500,24,3
1500,0,3
6000,0,3
3000,0,3
1500,0,3
4500,24,3
8000,24,3
1500,0,4
10000,0,4
1500,12,3
10000,0,4
8000,0,4
15000,60,3
10000,0,4
8000,24,3
10000,36,3
15000,0,3
10000,36,4
6000,0,3
10000,0,3
10000,36,3
10000,36,3
10000,12,4
1500,0,4
4500,12,3
15000,0,4
4500,24,3
10000,24,3
10000,0,4
10000,0,4
10000,60,4
10000,24,4
10000,36,4
4500,12,3
1500,24,3
10000,12,4
10000,0,4
3000,12,3
10000,60,4
1500,0,3
8000,0,3
10000,36,3
2000,0,3
10000,0,4
8000,36,4
1500,0,3
8000,36,4
8000,24,4
8000,36,4
8000,24,4
8000,36,3
10000,0,3
10000,36,4
10000,0,3
10000,0,4
1500,36,4
10000,0,4
1500,0,3
3000,24,3
1500,0,3
8000,24,3
1500,0,3
1500,0,3
8000,0,3
1500,36,3
1500,0,3
1500,12,3
2000,12,3
1500,24,4
1500,24,3
1500,0,3
1500,24,3
1500,0,3
1500,12,4
1500,36,3
1500,36,3
1500,24,3
1500,24,3
1500,0,3
6000,0,3
8000,36,4
6000,0,3
1500,0,3
1500,12,3
6000,0,3
6000,0,3
1500,12,3
6000,0,3
1500,0,3
6000,0,3
6000,36,3
1500,24,3
3000,0,3
2000,12,3
6000,36,3
6000,36,3
1500,12,3
1500,12,3
1500,24,3
1500,12,3
1500,60,3
1500,36,3
1500,36,3
2000,12,3
1500,36,3
1500,60,3
1500,24,3
2000,0,3
6000,24,4
1500,24,3
10000,0,3
10000,0,3
6000,0,3
10000,0,3
10000,0,4
4500,24,4
10000,0,3
8000,0,3
8000,0,3
15000,24,4
6000,0,3
8000,0,3
8000,0,3
3000,0,3
4500,36,3
6000,12,3
4500,24,3
2000,12,3
3000,12,3
4500,36,3
2000,12,3
6000,24,3
8000,36,3
3000,12,3
2000,12,3
3000,12,3
10000,60,3
4500,24,3
4500,24,3
3000,12,3
2000,12,3
8000,24,3
1500,24,3
1500,12,3
4500,24,3
3000,12,3
3000,12,3
2000,12,3
2000,12,3
3000,12,3
3000,0,3
3000,0,3
2000,12,3
3000,12,3
3000,0,3
2000,12,3
3000,12,3
2000,12,3
3000,0,3
4500,24,3
2000,12,3
2000,0,3
3000,12,3
3000,0,3
4500,24,3
3000,0,3
4500,24,3
4500,24,3
2000,12,3
8000,24,3
8000,24,3
2000,12,3
2000,0,3
2000,12,4
2000,12,3
4500,36,3
2000,0,3
1500,0,3
4500,0,3
4500,0,3
6000,36,4
4500,0,3
2000,12,3
8000,60,4
2000,36,3
4500,12,3
10000,60,3
6000,36,3
4500,12,3
2000,0,3
6000,12,3
6000,24,3
8000,60,4
10000,60,4
4500,24,3
2000,0,3
15000,36,3
15000,0,3
10000,0,3
15000,0,4
10000,0,4
10000,0,4
10000,0,3
15000,0,3
15000,0,4
6000,24,3
4500,24,3
8000,60,3
6000,0,3
4500,24,3
4500,12,3
4500,12,3
1500,12,3
4500,0,3
2000,12,3
1500,0,4
1500,0,3
4500,0,3
8000,0,3
3000,0,3
3000,12,3
1500,0,3
1500,0,4
1500,12,4
1500,60,3
1500,24,3
1500,120,3
8000,12,3
15000,36,3
8000,24,3
4500,0,3
15000,0,3
1500,36,3
1500,36,3
10000,60,3
1500,36,3
1500,36,3
8000,36,4
10000,36,3
15000,36,3
1500,0,3
8000,60,3
8000,12,3
8000,12,3
10000,60,3
6000,12,3
6000,36,3
4500,36,3
4500,60,3
10000,60,3
10000,120,3
10000,60,3
8000,36,3
10000,36,3
10000,36,3
6000,36,3
8000,60,3
6000,60,3
8000,60,3
2000,12,3
4500,12,3
8000,36,3
10000,60,3
6000,0,3
15000,36,3
15000,12,3
10000,12,4
1500,36,3
10000,36,4
1500,36,3
1500,36,3
15000,36,3
15000,36,3
15000,60,3
15000,60,3
15000,60,3
15000,36,4
6000,12,3
1500,36,4
4500,0,3
1500,36,4
4500,12,3
1500,36,4
4500,0,3
1500,60,4
6000,12,3
6000,0,4
1500,36,3
1500,12,4
15000,36,4
1500,12,4
15000,60,3
1500,36,3
1500,0,3
8000,24,3
15000,36,4
1500,24,4
10000,36,3
1500,36,4
4500,12,3
4500,12,3
15000,36,3
6000,24,3
6000,12,3
1500,0,3
8000,36,3
15000,36,3
15000,12,3
15000,12,3
15000,12,3
10000,12,3
15000,36,3
4500,12,3
3000,0,3
10000,60,3
10000,60,3
10000,12,3
1500,0,3
6000,12,3
6000,36,3
3000,12,3
1500,0,3
10000,0,3
6000,24,3
4500,24,3
1500,0,3
6000,0,3
6000,12,3
6000,36,3
10000,36,3
6000,12,3
6000,12,3
8000,24,3
6000,12,3
10000,12,4
4500,24,3
1500,36,4
3000,12,3
6000,60,3
8000,12,3
10000,0,3
4500,12,3
4500,12,3
10000,24,3
4500,60,3
1500,12,3
1500,24,3
1500,24,4
10000,12,4
6000,12,3
8000,12,4
10000,0,3
10000,36,4
6000,60,3
10000,0,3
10000,36,3
2000,0,3
6000,0,3
15000,36,4
10000,24,3
1500,36,3
1500,60,3
10000,0,3
3000,0,3
15000,0,4
4500,0,3
4500,0,3
6000,60,3
10000,0,3
10000,36,3
10000,36,3
10000,36,3
10000,0,4
1500,0,3
4500,12,3
10000,60,3
10000,0,3
8000,0,4
6000,0,3
6000,12,3
10000,36,3
10000,24,4
4500,24,4
10000,0,3
4500,24,3
3000,36,3
8000,0,3
3000,12,3
1500,36,4
6000,12,3
8000,36,3
8000,36,3
10000,0,3
2000,12,3
8000,36,3
10000,60,4
15000,36,3
6000,12,3
10000,24,3
6000,36,3
8000,36,4
10000,60,3
10000,36,3
10000,0,3
6000,0,3
6000,0,3
15000,0,3
6000,36,3
15000,36,4
2000,12,3
6000,0,3
10000,60,3
8000,36,3
8000,36,4
6000,36,3
10000,60,3
2000,12,3
10000,36,3
6000,12,3
10000,0,3
10000,36,3
4500,0,3
15000,0,3
15000,0,4
6000,12,3
10000,36,3
15000,60,3
15000,36,3
15000,36,3
15000,36,3
1500,0,3
8000,12,4
6000,12,4
10000,36,3
4500,36,3
2000,0,3
10000,12,3
8000,36,3
2000,12,3
10000,36,3
6000,12,3
15000,36,3
15000,36,3
6000,0,3
6000,0,4
15000,36,3
10000,60,3
1500,0,3
1500,0,3
6000,0,4
3000,0,3
8000,0,4
4500,12,3
8000,36,3
6000,36,3
3000,12,3
15000,36,3
4500,0,3
2000,0,3
1500,0,3
2000,0,3
4500,12,3
10000,0,3
6000,12,3
6000,12,3
6000,12,3
8000,24,3
4500,0,3
10000,0,3
6000,12,3
8000,12,3
4500,24,3
8000,24,3
10000,24,3
6000,24,3
4500,0,3
6000,0,3
1500,0,3
1500,24,3
1500,12,3
1500,12,3
1500,24,3
1500,12,3
1500,12,3
3000,24,3
3000,24,3
1500,0,3
1500,0,3
1500,0,3
1500,12,3
1500,0,3
4500,12,4
2000,12,3
8000,12,3
1500,36,3
1500,24,3
1500,24,3
1500,36,4
6000,12,3
2000,0,3
10000,0,3
8000,36,4
6000,24,3
3000,0,3
10000,0,4
4500,0,3
6000,36,3
3000,12,3
1500,0,3
6000,24,3
6000,36,4
3000,24,3
10000,36,4
4500,12,3
6000,24,3
4500,12,3
1500,36,3
1500,24,3
1500,36,3
1500,12,3
1500,36,4
1500,36,3
1500,24,4
1500,12,3
1500,12,3
1500,12,3
1500,24,3
1500,12,3
1500,60,4
1500,36,4
1500,36,3
1500,0,3
1500,36,4
10000,0,3
1500,36,3
1500,36,3
10000,24,4
15000,36,4
4500,0,3
6000,36,3
8000,12,4
15000,36,4
15000,36,4
4500,12,3
10000,0,3
10000,36,4
15000,36,4
4500,12,3
10000,60,3
1500,36,3
8000,12,3
4500,12,3
10000,60,4
6000,0,3
6000,0,3
15000,36,3
10000,36,3
15000,60,3
10000,36,4
15000,60,4
15000,36,3
1500,36,3
15000,36,3
4500,0,3
15000,0,4
8000,0,3
10000,0,3
10000,0,3
10000,36,3
15000,0,3
4500,0,3
6000,12,3
6000,12,3
15000,36,3
15000,0,4
15000,12,4
6000,12,3
6000,12,3
10000,0,4
4500,36,3
4500,36,3
6000,0,3
6000,0,3
10000,12,3
6000,12,3
1500,12,3
8000,12,3
10000,36,4
6000,12,3
15000,0,3
10000,0,4
4500,12,3
15000,36,3
10000,36,3
10000,36,3
6000,0,3
4500,0,3
4500,12,3
4500,12,3
4500,12,3
4500,12,3
6000,24,3
8000,24,3
1500,24,3
10000,12,3
1500,12,3
1500,12,3
3000,0,3
8000,12,3
4500,12,3
6000,12,3
1500,36,3
4500,12,3
6000,0,3
4500,12,3
1500,36,4
8000,36,4
6000,0,3
8000,24,3
10000,36,3
8000,0,3
8000,24,3
4500,0,3
6000,12,3
10000,60,3
8000,12,3
8000,24,3
10000,60,3
10000,12,3
8000,12,3
6000,0,3
10000,24,3
4500,12,3
6000,36,3
2000,0,3
6000,24,3
4500,12,3
10000,36,4
10000,0,3
10000,12,3
4500,12,3
4500,0,3
4500,24,3
4500,24,3
1500,36,3
6000,24,3
4500,12,3
4500,24,3
4500,24,3
6000,24,3
6000,24,3
8000,60,4
4500,12,3
6000,12,3
4500,12,3
10000,12,3
8000,12,3
10000,12,3
8000,36,3
15000,0,4
15000,0,4
15000,60,4
15000,0,3
15000,0,4
15000,0,4
4500,0,3
15000,0,3
8000,0,4
4500,24,3
4500,24,3
1500,12,3
1500,12,3
6000,12,3
6000,12,3
6000,12,3
8000,12,3
10000,12,4
15000,36,4
4500,12,3
4500,36,3
4500,0,3
4500,36,3
8000,0,3
10000,36,4
1500,24,3
1500,12,4
6000,24,3
8000,24,3
8000,24,3
8000,24,4
6000,0,3
4500,24,3
8000,24,3
8000,36,3
10000,0,3
8000,0,4
8000,36,3
4500,0,3
8000,36,3
10000,0,4
6000,24,3
4500,0,3
10000,60,3
8000,0,3
10000,36,4
10000,0,3
4500,12,3
15000,0,3
8000,0,4
15000,0,3
15000,0,3
10000,0,3
10000,0,3
10000,0,3
10000,36,3
10000,0,3
8000,0,3
8000,0,3
8000,36,3
10000,0,3
10000,0,3
10000,0,3
10000,0,3
15000,0,3
15000,0,3
15000,0,3
15000,0,3
15000,0,3
8000,0,3
8000,0,3
8000,24,3
4500,0,3
1500,0,3
3000,12,3
3000,0,3
3000,0,3
4500,12,3
6000,0,3
3000,0,3
6000,0,3
15000,60,4
15000,0,3
15000,0,3
8000,24,3
6000,24,3
3000,0,3
15000,0,3
3000,0,3
15000,0,3
6000,0,3
6000,0,3
10000,36,4
4500,0,3
6000,0,3
15000,0,3
15000,0,3
4500,0,3
10000,12,3
4500,24,3
10000,0,3
8000,24,3
8000,24,3
15000,0,3
15000,0,3
15000,12,3
10000,36,4
10000,0,3
10000,0,4
10000,36,4
4500,12,3
10000,36,3
10000,0,3
10000,0,3
10000,12,3
15000,60,4
1500,24,3
1500,60,3
1500,0,3
1500,24,3
1500,24,3
1500,24,3
1500,0,3
1500,0,4
8000,36,4
10000,36,3
15000,60,3
6000,24,3
10000,36,3
10000,60,3
8000,36,3
15000,36,4
10000,36,4
8000,24,3
8000,36,3
10000,60,4
10000,60,3
10000,36,3
10000,36,4
15000,60,4
8000,0,3
8000,12,3
8000,24,3
10000,60,4
8000,36,4
10000,36,3
8000,36,3
4500,24,3
8000,36,3
6000,36,3
10000,24,3
10000,36,3
2000,0,3
8000,24,3
3000,0,3
10000,0,4
8000,0,4
15000,0,3
1500,0,3
1500,12,3
15000,0,3
1500,0,3
4500,12,3
1500,12,3
1500,24,3
1500,24,3
1500,24,3
1500,12,3
6000,36,3
10000,12,3
3000,24,4
1500,60,4
6000,0,4
2000,0,3
4500,0,3
8000,0,4
8000,0,4
8000,24,3
8000,12,4
6000,24,3
8000,24,3
8000,0,3
4500,12,3
1500,24,3
1500,12,3
1500,0,3
3000,12,3
1500,24,3
1500,24,4
1500,12,3
1500,12,3
2000,12,3
2000,12,3
1500,12,3
2000,12,3
8000,0,3
6000,12,3
8000,24,3
1500,12,3
8000,36,3
10000,60,4
1500,12,3
1500,36,4
1500,12,3
10000,36,4
3000,0,3
4500,0,3
6000,12,4
1500,12,3
4500,0,3
6000,12,3
1500,24,3
1500,0,4
4500,12,3
15000,24,3
1500,0,3
1500,24,3
15000,0,3
6000,24,3
3000,0,3
4500,12,3
6000,24,3
4500,12,3
4500,36,3
1500,36,3
4500,36,3
8000,12,3
10000,0,4
3000,24,3
8000,12,3
15000,0,4
15000,36,4
15000,36,4
3000,24,3
3000,12,3
10000,36,3
3000,36,3
8000,0,3
1500,36,4
4500,12,3
4500,24,4
1500,12,3
10000,24,3
10000,36,4
10000,36,3
10000,36,3
1500,12,3
10000,0,3
1500,0,3
8000,0,4
10000,0,3
15000,60,3
6000,24,3
6000,0,3
15000,36,3
6000,12,3
6000,0,3
10000,12,4
1500,24,3
4500,0,3
10000,24,3
10000,0,3
4500,12,3
10000,12,4
6000,0,3
15000,36,4
8000,36,3
8000,12,3
3000,0,3
8000,36,3
15000,36,4
6000,24,3
6000,0,3
10000,12,3
15000,0,3
8000,36,4
8000,0,3
4500,36,3
15000,0,3
10000,0,3
6000,24,4
6000,0,3
10000,36,3
10000,36,3
10000,0,4
10000,36,4
6000,12,3
8000,0,4
4500,0,3
1500,36,3
10000,0,3
4500,0,3
15000,0,3
1500,24,4
1500,12,4
1500,12,4
1500,0,3
1500,36,4
10000,12,3
15000,0,3
10000,36,4
4500,0,3
8000,24,3
15000,0,3
15000,12,3
15000,0,4
6000,60,3
1500,36,4
1500,36,4
1500,36,3
4500,24,3
1500,36,3
1500,60,4
15000,0,3
10000,0,4
4500,0,3
3000,24,3
6000,0,3
3000,24,3
6000,24,3
8000,24,3
6000,12,3
3000,0,3
10000,0,3
3000,0,3
4500,0,3
8000,24,3
10000,12,3
4500,0,3
10000,0,3
6000,0,3
6000,12,3
8000,12,3
1500,36,3
6000,0,3
1500,36,3
3000,0,3
6000,0,3
8000,12,4
10000,36,3
8000,12,3
8000,0,4
1500,12,3
4500,12,3
1500,24,3
3000,0,3
1500,24,3
1500,36,3
1500,0,3
10000,12,3
4500,36,3
1500,36,4
10000,0,3
1500,0,3
10000,60,3
1500,24,3
10000,24,3
8000,12,3
15000,36,3
6000,24,3
10000,12,3
3000,0,3
1500,24,3
8000,36,3
3000,0,3
10000,36,3
6000,36,3
10000,24,3
8000,36,3
3000,24,3
8000,36,3
3000,24,3
4500,36,3
3000,24,3
6000,24,3
3000,0,3
10000,36,3
10000,24,3
4500,24,3
15000,36,3
10000,24,3
10000,36,3
1500,12,4
3000,0,3
3000,0,3
6000,0,3
1500,36,3
10000,36,3
10000,24,3
10000,24,3
15000,36,4
1500,24,3
8000,36,4
1500,24,3
2000,0,3
1500,12,3
2000,0,3
1500,0,3
1500,12,3
10000,24,3
8000,36,4
4500,12,3
1500,0,3
1500,12,4
1500,24,3
1500,24,3
1500,0,3
1500,24,3
1500,0,3
1500,24,3
4500,12,3
4500,24,3
1500,24,3
1500,36,3
2000,12,3
1500,24,3
1500,12,3
1500,12,3
1500,36,3
1500,24,4
1500,24,3
6000,36,3
1500,24,3
1500,12,3
8000,0,3
10000,0,4
6000,0,3
4500,0,3
1500,24,3
1500,24,3
10000,0,4
1500,24,3
10000,0,3
1500,36,4
1500,24,4
1500,0,3
1500,12,3
3000,0,3
10000,36,3
15000,24,3
6000,36,3
1500,60,4
8000,0,4
4500,12,3
1500,24,3
1500,24,4
3000,0,3
4500,12,3
2000,0,3
2000,0,3
15000,0,3
1500,60,3
10000,0,3
1500,12,3
10000,0,3
4500,0,3
10000,24,3
3000,0,3
15000,24,3
8000,36,3
1500,0,3
6000,0,3
3000,0,3
1500,24,3
15000,0,3
10000,12,4
3000,0,3
1500,36,4
8000,12,4
10000,0,3
8000,12,3
10000,0,4
15000,24,4
10000,0,4
1500,24,3
10000,0,3
10000,0,3
1500,36,4
1500,36,3
1500,0,3
4500,12,3
1500,60,4
3000,0,3
1500,36,4
3000,0,3
1500,0,3
1500,36,3
1500,12,3
1500,24,3
1500,36,3
1500,24,3
1500,24,3
1500,24,3
1500,60,4
1500,24,3
1500,36,4
1500,36,3
1500,0,3
1500,24,3
3000,0,3
1500,12,3
6000,0,4
1500,0,4
1500,36,4
10000,24,3
4500,12,3
10000,0,4
4500,24,3
1500,36,4
1500,96,4
8000,0,4
2000,0,3
1500,36,4
1500,12,4
1500,36,4
8000,24,3
1500,36,3
10000,0,3
1500,12,3
1500,36,4
4500,24,3
1500,36,4
1500,24,3
1500,36,3
1500,24,3
1500,36,4
1500,24,3
1500,24,3
1500,24,3
1500,12,3
3000,0,3
1500,24,3
1500,60,3
1500,24,3
4500,24,3
1500,12,3
1500,0,3
1500,0,3
1500,0,3
1500,0,3
1500,0,3
1500,0,3
4500,12,3
1500,24,3
1500,60,3
1500,24,3
1500,60,4
1500,36,3
10000,0,3
3000,24,3
3000,12,3
1500,60,4
1500,60,3
1500,12,3
1500,12,3
6000,0,3
6000,0,3
6000,0,3
6000,0,3
2000,12,3
3000,0,3
3000,0,3
6000,12,3
10000,24,3
1500,0,4
15000,0,4
1500,24,3
1500,24,3
4500,0,3
2000,0,3
8000,24,3
15000,36,3
10000,36,3
4500,24,3
4500,12,3
10000,24,4
4500,0,3
2000,12,4
3000,60,3
3000,24,3
3000,0,3
4500,0,3
1500,36,4
6000,24,3
15000,24,4
15000,60,3
4500,0,3
4500,12,3
10000,12,3
6000,0,3
6000,0,3
8000,36,3
2000,0,3
15000,12,3
10000,36,3
15000,36,4
4500,0,3
1500,0,3
3000,0,3
15000,0,3
1500,0,3
1500,0,3
15000,60,3
1500,0,3
1500,36,3
15000,0,4
15000,0,3
8000,36,3
4500,24,3
4500,0,3
10000,0,4
6000,0,3
6000,0,3
8000,36,3
1500,36,3
1500,36,4
2000,0,3
10000,36,3
10000,36,3
15000,36,4
15000,36,3
15000,36,3
6000,0,3
6000,12,3
1500,36,3
10000,24,3
10000,24,3
8000,24,3
10000,36,3
1500,60,3
1500,12,3
8000,36,3
6000,24,3
1500,60,4
1500,36,3
1500,60,3
3000,0,3
4500,12,3
1500,36,3
8000,60,3
15000,36,3
1500,0,3
1500,0,3
1500,0,3
4500,24,3
8000,36,3
10000,0,3
10000,36,3
10000,24,3
8000,12,3
1500,24,4
8000,24,3
1500,12,3
8000,0,3
1500,0,3
10000,36,3
4500,24,3
1500,0,3
2000,0,3
1500,0,3
1500,36,3
1500,0,3
3000,0,4
10000,12,3
10000,24,4
10000,36,3
1500,0,3
2000,0,3
6000,0,3
15000,24,3
15000,36,4
6000,12,3
4500,0,3
8000,12,3
8000,24,3
3000,0,3
10000,0,3
10000,24,3
10000,12,4
15000,24,3
1500,0,3
10000,0,3
8000,12,3
8000,0,3
10000,12,3
10000,12,3
8000,36,4
1500,24,4
2000,0,3
4500,24,3
6000,36,3
4500,24,3
1500,36,4
10000,0,4
6000,0,3
10000,0,3
3000,0,3
10000,0,3
1500,36,3
10000,0,3
6000,0,3
10000,0,3
10000,0,3
10000,0,3
1500,24,4
1500,0,3
1500,60,3
6000,24,3
1500,24,3
10000,24,4
1500,24,3
10000,36,3
1500,24,3
8000,0,4
1500,24,3
1500,0,3
1500,0,3
1500,24,3
1500,0,3
1500,60,5
6000,12,3
1500,36,3
8000,36,4
1500,60,4
1500,12,3
10000,36,4
1500,36,3
6000,24,3
8000,24,3
8000,12,3
15000,96,3
1500,24,3
3000,24,3
4500,24,3
1500,36,3
6000,36,4
8000,36,3
1500,24,3
3000,36,3
4500,12,3
3000,24,3
8000,36,3
6000,12,3
15000,0,3
8000,36,3
10000,36,4
6000,12,3
3000,0,3
8000,0,4
1500,0,4
6000,12,4
3000,0,3
8000,0,3
3000,0,3
6000,24,3
1500,24,3
4500,24,3
6000,24,3
1500,60,4
1500,36,4
6000,24,3
1500,0,3
8000,36,4
1500,60,3
1500,24,3
1500,36,4
8000,36,3
3000,36,3
10000,36,3
6000,0,3
6000,12,3
1500,24,3
1500,36,3
6000,12,3
1500,0,3
1500,0,3
1500,36,3
10000,36,4
10000,36,3
4500,12,3
2000,0,3
1500,36,3
10000,0,3
1500,0,3
6000,12,3
10000,0,3
4500,12,3
2000,0,3
4500,0,3
2000,0,3
10000,12,3
10000,0,3
10000,12,3
10000,12,3
10000,12,3
8000,36,3
6000,0,3
10000,12,3
10000,12,3
10000,12,3
1500,0,3
10000,12,3
10000,12,3
10000,12,3
10000,12,3
10000,12,3
10000,12,3
6000,12,3
6000,12,3
10000,12,3
10000,12,3
4500,0,3
3000,0,3
1500,24,3
6000,24,3
2000,0,3
2000,0,3
3000,0,3
1500,12,3
15000,36,3
3000,0,3
4500,0,3
3000,12,3
1500,0,3
4500,12,3
1500,0,3
6000,12,3
6000,36,3
4500,12,3
3000,0,3
10000,12,3
10000,12,3
6000,0,3
4500,12,3
10000,24,3
6000,0,3
3000,12,3
3000,24,3
10000,36,3
8000,36,3
6000,36,3
3000,12,3
3000,12,3
3000,36,3
3000,12,3
3000,12,3
1500,12,3
15000,24,3
4500,24,3
1500,0,3
8000,12,3
2000,0,3
2000,0,3
6000,0,3
3000,0,3
6000,12,3
4500,24,4
4500,24,3
1500,24,3
1500,0,3
3000,12,3
1500,0,3
3000,12,3
3000,12,3
3000,0,3
4500,12,3
1500,0,3
4500,36,3
10000,36,3
1500,0,3
1500,0,3
1500,0,3
6000,0,3
4500,12,3
2000,12,3
8000,12,3
1500,0,4
6000,36,3
10000,24,3
10000,36,4
2000,12,3
2000,0,3
1500,0,3
8000,0,4
10000,24,3
10000,0,4
6000,36,3
3000,0,3
3000,0,3
3000,12,3
8000,36,4
3000,0,3
8000,36,3
3000,12,3
3000,0,3
2000,12,3
1500,12,3
4500,0,3
1500,36,3
6000,24,3
1500,24,4
1500,12,3
1500,24,3
1500,12,3
1500,24,3
15000,0,4
8000,36,4
6000,12,3
1500,36,4
2000,0,3
2000,0,3
1500,12,3
1500,0,3
1500,24,4
2000,0,3
1500,24,3
1500,60,4
4500,12,3
2000,0,3
10000,24,3
2000,0,3
1500,0,3
8000,36,4
1500,0,3
1500,0,4
3000,0,3
1500,24,3
10000,24,4
8000,24,4
4500,36,3
4500,24,3
2000,12,3
8000,60,3
10000,12,3
1500,24,3
15000,60,4
15000,24,4
1500,36,3
8000,24,3
10000,60,3
6000,0,3
8000,24,4
6000,12,3
10000,36,4
10000,36,4
10000,36,3
8000,36,3
8000,24,3
8000,24,4
4500,12,3
1500,0,3
8000,24,3
8000,12,3
10000,36,3
10000,24,4
10000,36,3
8000,24,3
6000,24,3
3000,0,3
4500,24,3
8000,24,3
10000,36,3
10000,36,3
8000,36,4
8000,24,3
8000,24,3
8000,24,3
8000,36,3
10000,24,3
10000,36,3
15000,0,3
10000,24,3
